burrough,year,age,sex,people
07,2005,95,1,5
07,2005,96,1,3
07,2005,97,1,1
07,2005,98,1,0
07,2005,99,1,1
08,2005,0,1,331
08,2005,1,1,323
08,2005,2,1,320
08,2005,3,1,310
08,2005,4,1,300
08,2005,5,1,297
08,2005,6,1,299
08,2005,7,1,267
08,2005,8,1,273
08,2005,9,1,264
08,2005,10,1,269
08,2005,11,1,282
08,2005,12,1,232
08,2005,13,1,266
08,2005,14,1,247
08,2005,15,1,251
08,2005,16,1,235
08,2005,17,1,205
08,2005,18,1,197
08,2005,19,1,238
08,2005,20,1,202
08,2005,21,1,223
08,2005,22,1,233
08,2005,23,1,229
08,2005,24,1,255
08,2005,25,1,257
08,2005,26,1,269
08,2005,27,1,276
08,2005,28,1,292
08,2005,29,1,324
08,2005,30,1,299
08,2005,31,1,314
08,2005,32,1,346
08,2005,33,1,326
08,2005,34,1,373
08,2005,35,1,340
08,2005,36,1,344
08,2005,37,1,376
08,2005,38,1,365
08,2005,39,1,333
08,2005,40,1,333
08,2005,41,1,340
08,2005,42,1,313
08,2005,43,1,307
08,2005,44,1,300
08,2005,45,1,291
08,2005,46,1,311
08,2005,47,1,317
08,2005,48,1,284
08,2005,49,1,281
08,2005,50,1,243
08,2005,51,1,250
08,2005,52,1,229
08,2005,53,1,259
08,2005,54,1,238
08,2005,55,1,223
08,2005,56,1,299
08,2005,57,1,289
08,2005,58,1,254
08,2005,59,1,218
08,2005,60,1,211
08,2005,61,1,200
08,2005,62,1,167
08,2005,63,1,131
08,2005,64,1,130
08,2005,65,1,134
08,2005,66,1,117
08,2005,67,1,114
08,2005,68,1,97
08,2005,69,1,127
08,2005,70,1,93
08,2005,71,1,100
08,2005,72,1,110
08,2005,73,1,100
08,2005,74,1,123
08,2005,75,1,105
08,2005,76,1,95
08,2005,77,1,97
08,2005,78,1,100
08,2005,79,1,83
08,2005,80,1,87
08,2005,81,1,64
08,2005,82,1,88
08,2005,83,1,69
08,2005,84,1,66
08,2005,85,1,52
08,2005,86,1,50
08,2005,87,1,34
08,2005,88,1,39
08,2005,89,1,30
08,2005,90,1,21
08,2005,91,1,17
08,2005,92,1,18
08,2005,93,1,10
08,2005,94,1,5
08,2005,95,1,9
08,2005,96,1,2
08,2005,97,1,2
08,2005,98,1,0
08,2005,99,1,3
09,2005,0,1,229
09,2005,1,1,224
09,2005,2,1,181
09,2005,3,1,171
09,2005,4,1,179
09,2005,5,1,159
09,2005,6,1,183
09,2005,7,1,139
09,2005,8,1,136
09,2005,9,1,150
09,2005,10,1,125
09,2005,11,1,128
09,2005,12,1,122
09,2005,13,1,124
09,2005,14,1,115
09,2005,15,1,114
09,2005,16,1,128
09,2005,17,1,118
09,2005,18,1,109
09,2005,19,1,116
09,2005,20,1,108
09,2005,21,1,117
09,2005,22,1,119
09,2005,23,1,117
09,2005,24,1,149
09,2005,25,1,138
09,2005,26,1,165
09,2005,27,1,174
09,2005,28,1,179
09,2005,29,1,225
09,2005,30,1,245
09,2005,31,1,236
09,2005,32,1,251
